IRLS Dive Data CSV Export. (Version 1.2)

Dive Information:
Dive Number, Tasks, Start Date, End Date
2212,"Recover AoA at MJ03F.  
Swap CTD at MJ03F.  
Pre-stage cable at MJ03F.",2022-08-14 01:15:00,2022-08-14 07:17:00

Site(s):
Name,Comments

Scientist(s):
Name, Organization

Observations:
2212,2022-08-14 02:30:57,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=9000]",45.9548728,-130.0089742,1519.46,113.88,-1.37,0.04,4.69,0.33,"",3.14001,2.3876,1535.185,0.57,34.516,./files/dscs/R2212_29161.jpg
2212,2022-08-14 02:31:04,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=9000]",45.9548705,-130.0089441,1519.2,113.83,0.3,0.17,4.86,0.29,"",3.14005,2.3886,1534.612,0.58,34.5157,./files/dscs/R2212_29162.jpg
2212,2022-08-14 02:31:36,"Surveying area",45.9549027,-130.0089297,1519.71,132.48,1.13,0,4.7,0.65,"Survey ",3.14021,2.3899,1535.113,0.58,34.516,
2212,2022-08-14 02:34:03,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=9000]",45.9549997,-130.009037,1520.4,125.08,-0.57,0.13,5.03,0.17,"",3.14034,2.3913,1535.891,0.58,34.5157,./files/dscs/R2212_29163.jpg
2212,2022-08-14 02:34:52,"Surveying",45.9549892,-130.008914,1519.69,204.37,-1.08,1.55,4.71,0,"Survey ",3.14003,2.3874,1535.224,0.58,34.5165,./files/framegrabs/SDI1_8_14_2022 01_07_09_05259.jpg
2212,2022-08-14 02:36:02,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=9000]",45.9549857,-130.0088791,1519.67,328.48,-1.91,0.1,4.76,0.49,"",3.14056,2.3936,1535.082,0.57,34.5164,./files/dscs/R2212_29164.jpg
2212,2022-08-14 02:36:13,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=4500]",45.9549914,-130.0088734,1519.71,328.36,-2.12,0.36,4.76,0.3,"",3.14048,2.3929,1535.182,0.58,34.5162,./files/dscs/R2212_29165.jpg
2212,2022-08-14 02:36:35,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=4000]",45.9549862,-130.0088344,1521.95,326.8,-1.96,0.26,3.54,0.33,"",3.14064,2.3926,1537.522,0.58,34.5172,./files/dscs/R2212_29166.jpg
2212,2022-08-14 02:37:04,"ROPOS on bottom",45.9549648,-130.0088103,1524.61,325.68,-0.28,1.57,2.18,0,"",3.14083,2.3931,1540.116,0.58,34.5177,./files/framegrabs/SDI2_8_14_2022 01_07_11_05385.jpg
2212,2022-08-14 02:38:06,"Unlocked and unlatching basket",45.9549752,-130.0088231,1524.68,325.26,-0.04,1.13,2.18,0,"Vehicle ",3.14033,2.3889,1540.098,0.58,34.5161,
2212,2022-08-14 02:38:07,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=5000]",45.9549754,-130.0088235,1524.68,325.25,-0.03,1.09,2.18,0,"",3.14033,2.3889,1540.097,0.58,34.5161,./files/dscs/R2212_29167.jpg
2212,2022-08-14 02:39:57,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=3200]",45.9549833,-130.0088387,1523.56,311.2,-5.97,1.33,3.39,0.1,"",3.14104,2.3972,1539.163,0.58,34.5163,./files/dscs/R2212_29168.jpg
2212,2022-08-14 02:40:08,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=4000]",45.9549896,-130.0088551,1523.63,256.99,-5.1,1.71,3.35,0.33,"",3.14154,2.4027,1539.205,0.58,34.5166,./files/dscs/R2212_29169.jpg
2212,2022-08-14 02:40:17,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=4000]",45.9549837,-130.0088823,1523.71,240.22,-4.22,1.34,3.16,0,"",3.14074,2.3951,1539.259,0.57,34.5149,./files/dscs/R2212_29170.jpg
2212,2022-08-14 02:40:24,"Fly around survey to note cables and flat landing spot",45.9549764,-130.0089199,1523.99,246.62,-4.94,0.53,2.93,1.11,"Vehicle ",3.14025,2.3881,1539.604,0.58,34.5161,
2212,2022-08-14 02:40:24,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2800]",45.9549764,-130.0089199,1523.99,246.62,-4.94,0.53,2.93,1.11,"",3.14025,2.3881,1539.604,0.58,34.5161,./files/dscs/R2212_29171.jpg
2212,2022-08-14 02:40:32,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=3200]",45.9549605,-130.0089824,1524.39,245.94,-5.32,0.98,2.48,1.21,"",3.14029,2.3882,1539.982,0.57,34.5163,./files/dscs/R2212_29172.jpg
2212,2022-08-14 02:40:44,"DSC: Please add comment [Focal Length=34] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2800]",45.9549431,-130.0090492,1524.71,245.76,-4.57,1.32,2.24,0.88,"",3.14028,2.3881,1540.282,0.57,34.5162,./files/dscs/R2212_29173.jpg
2212,2022-08-14 02:40:51,"DSC: Please add comment [Focal Length=34] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1800]",45.9549342,-130.0090864,1525.18,244.45,-5.65,1.14,1.74,0.61,"",3.14033,2.3884,1540.782,0.58,34.5162,./files/dscs/R2212_29174.jpg
2212,2022-08-14 02:41:03,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2200]",45.9549337,-130.0091125,1524.83,234.88,-5.44,0.89,2.1,0.14,"",3.14051,2.39,1540.427,0.57,34.5169,./files/dscs/R2212_29175.jpg
2212,2022-08-14 02:41:08,"SCPR and A0A",45.9549351,-130.0091201,1524.76,233.54,-5,1.27,2.17,0.19,"Asset ",3.14089,2.3939,1540.329,0.58,34.5174,./files/framegrabs/SDI1_8_14_2022 01_07_09_05632.jpg
2212,2022-08-14 02:41:11,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2200]",45.9549354,-130.0091249,1524.9,229.44,-5.13,0.82,2.03,0.23,"",3.14082,2.3993,1540.518,0.58,34.5108,./files/dscs/R2212_29176.jpg
2212,2022-08-14 02:41:19,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1800]",45.9549359,-130.0091415,1525.59,219.91,-5.44,0.81,1.66,0,"",3.14051,2.3906,1541.232,0.58,34.5158,./files/dscs/R2212_29177.jpg
2212,2022-08-14 02:41:28,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2200]",45.9549417,-130.0091572,1525.25,208.24,-5.37,0.59,1.68,0.28,"",3.14051,2.3906,1540.812,0.58,34.5161,./files/dscs/R2212_29178.jpg
2212,2022-08-14 02:41:36,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2500]",45.9549383,-130.0091808,1525.28,190.18,-5.99,0.5,1.71,0.42,"",3.14037,2.3888,1540.833,0.58,34.5163,./files/dscs/R2212_29179.jpg
2212,2022-08-14 02:41:44,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2200]",45.9549422,-130.009198,1525.61,169.25,-5.9,0.39,1.34,0.29,"",3.14036,2.3889,1541.187,0.57,34.5159,./files/dscs/R2212_29180.jpg
2212,2022-08-14 02:41:52,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2200]",45.9549372,-130.0092085,1525.44,153.87,-6.39,0.39,1.37,0.33,"",3.14041,2.3911,1541.11,0.58,34.5142,./files/dscs/R2212_29181.jpg
2212,2022-08-14 02:42:01,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2500]",45.9549381,-130.0092097,1524.79,130.02,-5.84,0.8,1.37,0,"",3.14045,2.3933,1540.337,0.58,34.5127,./files/dscs/R2212_29182.jpg
2212,2022-08-14 02:42:08,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2000]",45.9549328,-130.0092174,1524.76,115.01,-5.4,0.75,2.1,0.32,"",3.14035,2.3884,1540.307,0.58,34.5167,./files/dscs/R2212_29183.jpg
2212,2022-08-14 02:42:16,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2200]",45.9549228,-130.0092171,1525.11,104.98,-6.13,0.53,1.77,0.33,"",3.14032,2.3882,1540.689,0.57,34.5163,./files/dscs/R2212_29184.jpg
2212,2022-08-14 02:42:24,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2200]",45.9549126,-130.0092199,1525.22,91.28,-6.23,0.86,1.6,0.37,"",3.14034,2.3885,1540.786,0.58,34.5163,./files/dscs/R2212_29185.jpg
2212,2022-08-14 02:42:32,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2000]",45.9548989,-130.0092218,1524.99,71.26,-5.96,0.96,1.8,0.31,"",3.14048,2.3891,1540.585,0.58,34.5174,./files/dscs/R2212_29186.jpg
2212,2022-08-14 02:42:42,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=4000]",45.9548887,-130.0092086,1524.85,55.47,-6.06,0.65,1.97,0.38,"",3.14039,2.3889,1540.451,0.58,34.5166,./files/dscs/R2212_29187.jpg
2212,2022-08-14 02:43:10,"Going back to get a fix on the tool basket",45.9548955,-130.0091414,1524.36,23.32,-6.88,0.33,2.39,0.89,"",3.14074,2.3929,1540.016,0.58,34.5169,
2212,2022-08-14 02:43:41,"Tool basket logged",45.9549474,-130.0089948,1524.4,69.04,-5.28,0.57,2.52,0.68,"",3.14033,2.3897,1539.968,0.57,34.5152,
2212,2022-08-14 02:43:43,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1400]",45.9549503,-130.0089862,1524.11,69.08,-5.36,0.77,2.77,0.68,"",3.14028,2.3885,1539.684,0.57,34.516,./files/dscs/R2212_29188.jpg
2212,2022-08-14 02:43:54,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=5000]",45.9549677,-130.0089284,1522.98,69.52,-5.11,0.84,3.89,0.97,"",3.1403,2.3891,1538.558,0.58,34.5162,./files/dscs/R2212_29189.jpg
2212,2022-08-14 02:44:14,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2200]",45.9549846,-130.0088562,1523.84,70.19,-5.88,1.13,3.09,0,"",3.14024,2.388,1539.419,0.58,34.5163,./files/dscs/R2212_29190.jpg
2212,2022-08-14 02:44:22,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1400]",45.9549957,-130.0088334,1523.72,96.76,-4.53,1.02,3.15,0.64,"",3.14037,2.3902,1539.308,0.57,34.5155,./files/dscs/R2212_29191.jpg
2212,2022-08-14 02:44:44,"Survey of area",45.9549555,-130.0088352,1523.45,201.39,-5.61,3.29,3.42,0.39,"Survey ",3.14037,2.3897,1539.066,0.57,34.5162,
2212,2022-08-14 02:44:52,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=3600]",45.9549442,-130.0088269,1524.16,201.99,-5.72,2.78,2.8,0.43,"",3.14025,2.3881,1539.71,0.57,34.5161,./files/dscs/R2212_29192.jpg
2212,2022-08-14 02:44:59,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=4000]",45.9549312,-130.0088101,1524.46,201.87,-5.55,1.66,2.4,0.62,"",3.14032,2.3887,1540.035,0.58,34.5161,./files/dscs/R2212_29193.jpg
2212,2022-08-14 02:45:07,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=3200]",45.9549106,-130.0088084,1524.27,198.51,-6.32,1.77,2.54,0.64,"",-,-,-,-,-,./files/dscs/R2212_29194.jpg
2212,2022-08-14 02:45:15,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2800]",45.9548973,-130.0088094,1523.98,199.12,-5.74,2.49,2.79,0.25,"",3.14042,2.3904,1539.543,0.58,34.5158,./files/dscs/R2212_29195.jpg
2212,2022-08-14 02:45:30,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=3600]",45.9548778,-130.0088151,1523.83,197.9,-4.81,1.42,2.82,0.23,"",3.14063,2.3911,1539.404,0.57,34.5177,./files/dscs/R2212_29196.jpg
2212,2022-08-14 02:45:38,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2500]",45.9548644,-130.0088267,1524.3,189.18,-5.58,1.51,2.33,0.32,"",3.14028,2.3883,1539.868,0.57,34.5161,./files/dscs/R2212_29197.jpg
2212,2022-08-14 02:45:46,"CTD to be replaced",45.9548591,-130.0088387,1524.62,168.73,-3.56,0.85,1.92,0.44,"Asset ",3.14046,2.3898,1540.199,0.58,34.5165,./files/framegrabs/SDI1_8_14_2022 01_07_09_05912.jpg
2212,2022-08-14 02:45:55,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=3200]",45.9548423,-130.0088449,1524.37,148.74,-5.93,0.86,2.14,0.26,"",3.14061,2.3927,1539.991,0.58,34.5155,./files/dscs/R2212_29198.jpg
2212,2022-08-14 02:46:03,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=3200]",45.9548394,-130.0088557,1523.7,138.68,-6.4,1.45,2.81,0.22,"",3.14158,2.4015,1539.321,0.57,34.5183,./files/dscs/R2212_29199.jpg
2212,2022-08-14 02:46:24,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=3200]",45.9548254,-130.0088813,1524.32,97.61,-6.02,0.83,2.09,0.24,"",3.14052,2.3908,1539.946,0.57,34.5163,./files/dscs/R2212_29200.jpg
2212,2022-08-14 02:46:58,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=3200]",45.954809,-130.0088853,1524.07,50.23,-5.98,0.36,2.16,0.14,"",3.14138,2.4025,1539.639,0.57,34.5147,./files/dscs/R2212_29201.jpg
2212,2022-08-14 02:47:06,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=5600]",45.9548079,-130.0088756,1524.67,49.48,-6.52,0.01,1.51,0.25,"",3.1407,2.392,1540.25,0.58,34.5172,./files/dscs/R2212_29202.jpg
2212,2022-08-14 02:47:15,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=3600]",45.954799,-130.0088563,1523.57,12,-6.08,0.9,2.87,0.5,"",3.14028,2.3889,1539.122,0.57,34.5159,./files/dscs/R2212_29203.jpg
2212,2022-08-14 02:47:27,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1800]",45.9548264,-130.0088523,1522.66,359.5,-6.75,0.77,3.64,0,"",3.14047,2.3911,1538.255,0.57,34.5163,./files/dscs/R2212_29204.jpg
2212,2022-08-14 02:48:15,"Preparing to unplug CTD",45.9548555,-130.0088726,1525.82,355.96,-5.27,2.54,0.79,0,"",3.14042,2.3892,1541.242,0.57,34.5163,
2212,2022-08-14 02:48:48,"Grasping plug",45.9548536,-130.0088744,1525.77,355.72,-5.33,2.51,0.79,0,"",3.14124,2.3938,1541.248,0.58,34.5214,
2212,2022-08-14 02:48:53,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1600]",45.9548513,-130.0088738,1525.74,355.94,-5.3,2.54,0.79,0.36,"",3.14159,2.4043,1541.226,0.57,34.5145,./files/dscs/R2212_29205.jpg
2212,2022-08-14 02:49:03,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2500]",45.9548484,-130.0088718,1525.81,355.9,-5.27,2.53,0.78,0.1,"",3.14097,2.3947,1541.229,0.58,34.5172,./files/dscs/R2212_29206.jpg
2212,2022-08-14 02:49:12,"CTD unplugged",45.9548484,-130.0088713,1525.67,355.4,-5.54,0.12,0.66,0,"",3.14039,2.3919,1541.229,0.58,34.513,./files/framegrabs/SDI1_8_14_2022 01_07_09_06113.jpg
2212,2022-08-14 02:49:13,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2500]",45.9548485,-130.0088709,1525.62,355.02,-5.89,0.98,0.69,0.06,"",3.14037,2.3892,1541.217,0.58,34.5157,./files/dscs/R2212_29207.jpg
2212,2022-08-14 02:49:24,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=3200]",45.9548492,-130.0088697,1525.02,355.21,-6.13,0.84,1.28,0.1,"",3.14057,2.3911,1540.629,0.58,34.5163,./files/dscs/R2212_29208.jpg
2212,2022-08-14 02:49:59,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1400]",45.9548569,-130.0088449,1523.95,246.69,-5.86,3.1,2.48,0.2,"",3.14037,2.3889,1539.561,0.57,34.5167,./files/dscs/R2212_29209.jpg
2212,2022-08-14 02:50:23,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1400]",45.954818,-130.0088284,1524.66,301.8,-6.42,0.71,1.77,0.26,"",3.14032,2.3892,1540.204,0.57,34.5156,./files/dscs/R2212_29210.jpg
2212,2022-08-14 02:50:39,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1000]",45.9548134,-130.0088227,1525.54,309.66,-2.14,0.9,0.79,0,"",3.14084,2.3972,1541.01,0.58,34.5129,./files/dscs/R2212_29211.jpg
2212,2022-08-14 02:50:46,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1250]",45.9548134,-130.0088178,1525.68,309.7,0,1.08,0.69,0.08,"",3.14062,2.3908,1541.018,0.58,34.5172,./files/dscs/R2212_29212.jpg
2212,2022-08-14 02:50:50,"Grasping CTD",45.9548138,-130.0088163,1525.67,309.67,0.9,1.23,0.86,0.04,"",3.14057,2.3909,1541.028,0.57,34.5164,
2212,2022-08-14 02:50:55,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1250]",45.9548137,-130.0088121,1525.62,309.67,0.72,1.16,0.68,0,"",3.14041,2.3893,1541.029,0.58,34.5161,./files/dscs/R2212_29213.jpg
2212,2022-08-14 02:51:02,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1600]",45.9548129,-130.0088067,1525.61,309.66,0.73,1.17,0.68,0,"",3.14039,2.3889,1541.031,0.57,34.5163,./files/dscs/R2212_29214.jpg
2212,2022-08-14 02:51:11,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1250]",45.9548134,-130.0088038,1525.67,309.65,0.72,1.17,0.68,0,"",3.14039,2.3891,1541.027,0.58,34.516,./files/dscs/R2212_29215.jpg
2212,2022-08-14 02:51:20,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1250]",45.9548139,-130.0088049,1525.62,309.64,0.55,1.15,0.69,0,"",3.14039,2.3889,1541.022,0.58,34.5163,./files/dscs/R2212_29216.jpg
2212,2022-08-14 02:51:29,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1250]",45.9548147,-130.0088108,1525.64,309.63,-0.68,0.99,0.71,0,"",3.1405,2.3895,1541.016,0.57,34.517,./files/dscs/R2212_29217.jpg
2212,2022-08-14 02:51:38,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1400]",45.9548131,-130.0088331,1525.65,309.62,-0.68,0.99,0.73,0,"",3.14067,2.3911,1541.014,0.57,34.5174,./files/dscs/R2212_29218.jpg
2212,2022-08-14 02:51:47,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1250]",45.9548129,-130.008836,1525.58,309.59,-2.53,0.71,0.79,0,"",3.14067,2.3909,1541.021,0.58,34.5176,./files/dscs/R2212_29219.jpg
2212,2022-08-14 02:52:16,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1250]",45.9548189,-130.0088512,1522.53,317.67,-10.84,0.06,4.08,0.17,"",3.1408,2.3929,1538.127,0.57,34.5185,./files/dscs/R2212_29220.jpg
2212,2022-08-14 02:52:25,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=3600]",45.9548353,-130.0088459,1522.01,348.32,-10.58,0.02,4.55,0.52,"",3.14048,2.3924,1537.573,0.57,34.5154,./files/dscs/R2212_29221.jpg
2212,2022-08-14 02:52:33,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1400]",45.9548501,-130.0088342,1522.52,359.88,-10.12,0.18,4.01,0.75,"",-,-,-,-,-,./files/dscs/R2212_29222.jpg
2212,2022-08-14 02:52:41,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1800]",45.9548715,-130.0088311,1522.18,358.97,-8.67,1.08,4.32,0.8,"",3.1409,2.3948,1537.743,0.57,34.5179,./files/dscs/R2212_29223.jpg
2212,2022-08-14 02:52:49,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1600]",45.9549102,-130.0088215,1522.05,359.27,-10.15,1.19,4.75,1,"",3.14099,2.3972,1537.602,0.57,34.5166,./files/dscs/R2212_29224.jpg
2212,2022-08-14 02:52:51,"Flying CTD to basket",45.9549188,-130.0088174,1522.02,359.01,-10.52,1.3,4.87,0.92,"Asset ",3.14054,2.3952,1537.561,0.57,34.5132,./files/framegrabs/SDI2_8_14_2022 01_07_11_06337.jpg
2212,2022-08-14 02:52:58,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2000]",45.9549446,-130.0088004,1521.58,358.2,-10.91,1.25,5.44,0.64,"",3.14027,2.3891,1537.117,0.58,34.5166,./files/dscs/R2212_29225.jpg
2212,2022-08-14 02:53:07,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1800]",45.954975,-130.0087775,1520.86,26.11,-10.59,1.54,6.23,0.84,"",3.14098,2.3984,1536.398,0.57,34.5158,./files/dscs/R2212_29226.jpg
2212,2022-08-14 02:53:15,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1600]",45.9549959,-130.0087682,1519.82,103.86,-10.12,0.66,7.07,0.27,"",3.1411,2.4016,1535.474,0.57,34.5143,./files/dscs/R2212_29227.jpg
