IRLS Dive Data CSV Export. (Version 1.2)

Dive Information:
Dive Number, Tasks, Start Date, End Date
2217,"Swap CTDPFB304 (Chadwick).  
Recover COVIS Thermistors.  
Beware Calibration Spheres on 'invisible' tether, COVIS target 1&amp;2.",2022-08-15 15:42:26,2022-08-15 19:49:26

Site(s):
Name,Comments

Scientist(s):
Name, Organization

Observations:
2217,2022-08-15 16:23:50,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=4500]",45.933717,-130.0139456,533.14,172.18,0.69,0.82,1.75,0,"",3.22203,4.4599,536.192,0.6,33.8426,./files/dscs/R2217_31039.jpg
2217,2022-08-15 16:24:00,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=3200]",45.9337156,-130.0139459,536.75,172.66,-0.17,1.12,1.75,0,"",-,-,-,-,-,./files/dscs/R2217_31040.jpg
2217,2022-08-15 16:24:56,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=12800]",45.9336923,-130.0139505,559.96,172.49,-0.57,1.09,1.75,0,"",3.22445,4.4395,563.139,0.48,33.8779,./files/dscs/R2217_31041.jpg
2217,2022-08-15 16:25:10,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=12800]",45.93369,-130.0139586,565.73,172.23,0.15,0.75,1.75,0,"",3.22514,4.4358,569.013,0.46,33.8868,./files/dscs/R2217_31042.jpg
2217,2022-08-15 16:25:16,"curious fish",45.9336891,-130.0139531,568.86,172.22,0.39,0.59,1.75,0,"Biology ",3.22536,4.4364,572.157,0.45,33.8871,./files/framegrabs/SDI1_8_15_2022 15_43_18_02515.jpg
2217,2022-08-15 16:25:38,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=7200]",45.9336846,-130.0139521,576.59,172.5,0.04,1.85,1.75,0,"",3.22656,4.4333,580.489,0.42,33.9001,./files/dscs/R2217_31043.jpg
2217,2022-08-15 16:27:54,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=12800]",45.9336717,-130.0139262,633.29,171.95,-0.01,1.11,1.75,0,"",3.21938,4.2819,637.742,0.32,33.942,./files/dscs/R2217_31044.jpg
2217,2022-08-15 16:28:13,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=4000]",45.933668,-130.013923,641.26,172.1,0.18,1.05,1.75,0,"",3.21721,4.2517,645.714,0.32,33.9435,./files/dscs/R2217_31045.jpg
2217,2022-08-15 16:28:28,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=9000]",45.9336661,-130.0139233,647.84,172.53,1.07,1.06,1.75,0,"",3.2152,4.2278,652.013,0.31,33.9413,./files/dscs/R2217_31046.jpg
2217,2022-08-15 16:28:39,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=12800]",45.9336674,-130.0139263,651.8,172.11,0.67,1.29,1.75,0,"",3.21506,4.2151,656.228,0.31,33.9506,./files/dscs/R2217_31047.jpg
2217,2022-08-15 16:34:36,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=5000]",45.9336748,-130.0140672,797.81,172.29,-0.05,0.62,1.75,0,"",3.19166,3.7686,803.895,0.18,34.0597,./files/dscs/R2217_31048.jpg
2217,2022-08-15 17:02:52,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=1/60] [ISO Equivalent=12800]",45.9338219,-130.013978,1487.75,136.96,0.43,0.72,53.01,0.14,"",3.12433,2.4321,1502.688,0.54,34.2937,./files/dscs/R2217_31049.jpg
2217,2022-08-15 17:03:00,"20 degres to port",45.9338248,-130.0139752,1488.46,137.48,0.49,0.45,51.94,0.16,"Ship Moving ",3.12462,2.4352,1503.395,0.54,34.2936,./files/framegrabs/SDI2_8_15_2022 15_43_20_04779.jpg
2217,2022-08-15 17:06:06,"junction box spotted at bottom of screen",45.9337693,-130.0139977,1523.32,139.78,0.63,0.02,16.56,0.07,"",3.12224,2.4276,1538.754,0.55,34.255,./files/framegrabs/SDI1_8_15_2022 15_43_18_04966.jpg
2217,2022-08-15 17:06:59,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=1/80] [ISO Equivalent=12800]",45.9337668,-130.0139934,1529.27,139.61,0.43,0.05,10.71,0.05,"",3.12292,2.4308,1544.784,0.55,34.2568,./files/dscs/R2217_31050.jpg
2217,2022-08-15 17:11:40,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=1/80] [ISO Equivalent=12800]",45.9337877,-130.0140265,1533.08,152.23,1,0.41,4.46,0.29,"",3.12232,2.4209,1548.85,0.55,34.2579,./files/dscs/R2217_31051.jpg
2217,2022-08-15 17:12:10,"planning where to set down basket not too close to seismometer",45.933774,-130.0140073,1533.19,225.11,-0.65,1.17,4.8,0,"",3.12242,2.4211,1548.851,0.55,34.2589,./files/framegrabs/SDI1_8_15_2022 15_43_18_05330.jpg
2217,2022-08-15 17:13:01,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=7200]",45.9337965,-130.0140411,1536.43,151.93,0.08,0.37,3.3,0.11,"",3.12253,2.421,1552.139,0.55,34.2586,./files/dscs/R2217_31052.jpg
2217,2022-08-15 17:13:16,"ROV and basket on sea floor",45.9337985,-130.0140352,1538.04,152.1,-1.07,8.78,2.22,0.03,"",3.12266,2.4217,1553.432,0.55,34.2589,./files/framegrabs/SDI1_8_15_2022 15_43_18_05396.jpg
2217,2022-08-15 17:16:55,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=6400]",45.9337479,-130.0139714,1537.88,120.08,1.01,1.84,2.35,0,"",3.12306,2.4216,1553.455,0.55,34.2638,./files/dscs/R2217_31053.jpg
2217,2022-08-15 17:17:27,"basket in stsble place",45.9337477,-130.0139622,1537.92,120.12,1.22,1.48,2.35,0,"Vehicle ",3.12314,2.4223,1553.456,0.55,34.2641,./files/framegrabs/SDI1_8_15_2022 15_43_18_05647.jpg
2217,2022-08-15 17:22:27,"basket disconnected",45.9337493,-130.0139313,1537.18,116.71,-3.05,2.46,3.01,0.14,"Vehicle ",3.12489,2.4386,1553.029,0.55,34.2685,./files/framegrabs/SDI2_8_15_2022 15_43_20_05945.jpg
2217,2022-08-15 17:23:00,"good shot of j box",45.9337531,-130.0138762,1535.37,188.49,-5.93,2.64,5.09,0.46,"",3.12343,2.4219,1551.11,0.55,34.2691,./files/framegrabs/SDI1_8_15_2022 15_43_18_05980.jpg
2217,2022-08-15 17:23:05,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=8000]",45.9337568,-130.0138656,1534.99,166.33,-6.61,0.7,5.56,0.31,"",3.12336,2.4222,1550.663,0.55,34.2683,./files/dscs/R2217_31054.jpg
2217,2022-08-15 17:23:14,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=9000]",45.9337533,-130.0138343,1534.34,220.78,-7.1,2.08,6.05,0.67,"",3.12355,2.4243,1550.034,0.55,34.2687,./files/dscs/R2217_31055.jpg
2217,2022-08-15 17:23:23,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=8000]",45.9337301,-130.0137949,1533.09,262.4,-6.58,0.1,7.35,0.96,"",3.12328,2.4215,1548.742,0.55,34.269,./files/dscs/R2217_31056.jpg
2217,2022-08-15 17:23:33,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=9000]",45.9336985,-130.0137853,1532.1,273.28,-5.83,1.09,8.26,0,"",3.1232,2.4218,1547.675,0.55,34.2683,./files/dscs/R2217_31057.jpg
2217,2022-08-15 17:23:53,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=9000]",45.9336924,-130.0137907,1532.18,275.31,-5.75,0.66,8.07,0.39,"",3.12319,2.4213,1547.802,0.55,34.2686,./files/dscs/R2217_31058.jpg
2217,2022-08-15 17:24:02,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=9000]",45.9337128,-130.01379,1532.38,254.46,-6.21,0.7,8.13,0.57,"",3.12311,2.4202,1547.942,0.55,34.2686,./files/dscs/R2217_31059.jpg
2217,2022-08-15 17:24:10,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=7200]",45.9337327,-130.0137994,1532.68,227.53,-5.15,0.43,7.61,0.6,"",3.12312,2.4199,1548.306,0.55,34.269,./files/dscs/R2217_31060.jpg
2217,2022-08-15 17:24:32,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=8000]",45.9337628,-130.013855,1534.1,186.33,-6.28,1.3,6.56,0.6,"",-,-,-,-,-,./files/dscs/R2217_31061.jpg
2217,2022-08-15 17:24:34,"survey of J box and CTD",45.9337646,-130.0138623,1534.08,178.5,-6.34,1.01,6.48,0.59,"Survey ",3.12318,2.4197,1549.749,0.55,34.2691,./files/framegrabs/SDI1_8_15_2022 15_43_18_06074.jpg
2217,2022-08-15 17:24:52,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=8000]",45.9337335,-130.0139247,1534.58,106.59,-6.1,0.54,5.94,0.85,"",3.12328,2.4208,1550.194,0.55,34.2691,./files/dscs/R2217_31062.jpg
2217,2022-08-15 17:25:05,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=8000]",45.9336875,-130.0139164,1533.84,41.58,-6.46,0.63,6.4,0.87,"",-,-,-,-,-,./files/dscs/R2217_31063.jpg
2217,2022-08-15 17:25:16,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=9000]",45.9336707,-130.0138732,1533.54,355.67,-5.9,0.46,6.92,0.79,"",3.12322,2.4205,1549.104,0.55,34.2692,./files/dscs/R2217_31064.jpg
2217,2022-08-15 17:26:13,"operators planning unplug operation",45.9337086,-130.0138079,1535.78,276.93,-5.94,0.82,4.39,0.16,"",3.1233,2.42,1551.418,0.55,34.2695,./files/framegrabs/SDI1_8_15_2022 15_43_18_06174.jpg
2217,2022-08-15 17:26:13,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=3600]",45.9337086,-130.0138079,1535.78,276.93,-5.94,0.82,4.39,0.16,"",3.1233,2.42,1551.418,0.55,34.2695,./files/dscs/R2217_31065.jpg
2217,2022-08-15 17:26:56,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2800]",45.9336974,-130.0138314,1537.41,277.38,-7.64,0.88,2.66,0.12,"",3.1234,2.4203,1553.167,0.55,34.2695,./files/dscs/R2217_31066.jpg
2217,2022-08-15 17:27:29,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1600]",45.9336971,-130.0138393,1537.89,277.82,-9.33,1.49,2.24,0,"",3.12363,2.4208,1553.61,0.55,34.2715,./files/dscs/R2217_31067.jpg
2217,2022-08-15 17:27:30,"right manip grabbing junction box corner",45.9336974,-130.0138391,1537.77,277.39,-9.66,2.71,2.33,0,"",3.12364,2.421,1553.589,0.55,34.2715,./files/framegrabs/SDI1_8_15_2022 15_43_18_06250.jpg
2217,2022-08-15 17:28:42,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=5000]",45.9337048,-130.0138357,1538.14,275.57,-4.97,0.64,1.85,0,"",3.12365,2.4211,1553.848,0.55,34.2714,./files/dscs/R2217_31068.jpg
2217,2022-08-15 17:29:05,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=4500]",45.9337076,-130.0138323,1538.26,275.8,-5.44,1.01,1.89,0,"",3.12365,2.421,1553.857,0.55,34.2715,./files/dscs/R2217_31069.jpg
2217,2022-08-15 17:29:56,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=5000]",45.9337063,-130.0138297,1538.33,276.64,-4.07,0.96,1.78,0.1,"",3.12361,2.4203,1553.937,0.55,34.2717,./files/dscs/R2217_31070.jpg
2217,2022-08-15 17:29:58,"left manip unplugging old CTD from J10",45.9337059,-130.0138295,1538.26,275.77,-4.66,1.07,2.67,0.05,"Cabled Plug Vehicle ",3.1236,2.4202,1553.91,0.55,34.2717,./files/framegrabs/SDI1_8_15_2022 15_43_18_06399.jpg
2217,2022-08-15 17:31:21,"right manip grabbing and lifting CTD",45.9337054,-130.0138388,1538.1,275.83,-7.68,3.29,2,0.1,"Asset ",3.12369,2.4209,1553.936,0.55,34.2721,./files/framegrabs/SDI1_8_15_2022 15_43_18_06481.jpg
2217,2022-08-15 17:34:56,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=12800]",45.9337948,-130.013917,1529.76,209.47,-9.19,1.77,10.71,0.66,"",3.1238,2.4244,1545.447,0.55,34.2739,./files/dscs/R2217_31071.jpg
2217,2022-08-15 17:36:24,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=8000]",45.9338295,-130.0139665,1535.84,165.11,-9.58,3.89,4.78,0.29,"",3.12392,2.423,1551.561,0.55,34.2738,./files/dscs/R2217_31072.jpg
2217,2022-08-15 17:37:39,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=6400]",45.9338117,-130.0139126,1539.03,144.97,-7.91,1.88,1.49,0.06,"",3.12422,2.424,1554.825,0.55,34.2748,./files/dscs/R2217_31073.jpg
2217,2022-08-15 17:37:53,"old CTD placed near toolbasket",45.9338109,-130.013909,1539.06,141.61,-7.81,4.12,1.59,0.1,"",3.12438,2.4259,1554.815,0.55,34.2747,./files/framegrabs/SDI1_8_15_2022 15_43_18_06872.jpg
2217,2022-08-15 17:38:13,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=6400]",45.933811,-130.0139073,1538.63,158.05,-5.04,3.33,1.6,0,"",3.1246,2.4287,1554.254,0.55,34.2747,./files/dscs/R2217_31074.jpg
2217,2022-08-15 17:38:32,"left manip placing old CTD plug down",45.9338112,-130.013906,1538.83,155.76,-5.17,3.86,1.92,0.19,"Cabled Plug ",3.12444,2.4265,1554.484,0.55,34.2749,./files/framegrabs/SDI1_8_15_2022 15_43_18_06912.jpg
2217,2022-08-15 17:39:20,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=4500]",45.9337246,-130.0139406,1536.52,27.59,-3.43,2.01,3.59,0.3,"",3.12401,2.4232,1552.096,0.55,34.2744,./files/dscs/R2217_31075.jpg
2217,2022-08-15 17:40:28,"ROV set down infront of basket to open the gate",45.9337316,-130.0139392,1539.47,26.16,-2.03,0.56,0.9,0,"Vehicle ",3.12406,2.4221,1555.104,0.55,34.2746,./files/framegrabs/SDI1_8_15_2022 15_43_18_07027.jpg
2217,2022-08-15 17:41:02,"left arm unhooks left bungee",45.9337352,-130.0139456,1539.5,26.64,-1.93,2.45,1.08,0,"",3.12407,2.4224,1555.106,0.55,34.2746,./files/framegrabs/SDI1_8_15_2022 15_43_18_07049.jpg
2217,2022-08-15 17:41:42,"right arm unhooks right bungee and opens gate",45.9337355,-130.0139474,1539.57,25.31,-1.41,2.37,1.06,0,"Vehicle ",3.12403,2.4218,1555.1,0.55,34.2746,./files/framegrabs/SDI1_8_15_2022 15_43_18_07091.jpg
2217,2022-08-15 17:42:40,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1800]",45.9337225,-130.0139649,1539.54,26.77,-3.48,3.19,0.9,0,"",3.12402,2.4215,1555.103,0.55,34.2748,./files/dscs/R2217_31076.jpg
2217,2022-08-15 17:42:52,"right manip removes CTD restraints",45.9337255,-130.0139626,1539.52,26.63,-2.92,3.16,0.9,0,"Asset ",3.12405,2.4221,1555.114,0.55,34.2746,./files/framegrabs/SDI1_8_15_2022 15_43_18_07171.jpg
2217,2022-08-15 17:44:06,"CTD bungee should have released, but its stuck, trying to undo it",45.9337256,-130.0139731,1539.59,26.36,-3.09,3.17,1.11,0.04,"Issue ",3.12405,2.4215,1555.119,0.55,34.2751,./files/framegrabs/SDI1_8_15_2022 15_43_18_07247.jpg
2217,2022-08-15 17:45:12,"left arm pulled plug bungee restraint pin",45.9337327,-130.013966,1539.53,26.15,-3.42,3.17,1.13,0,"",3.12405,2.4221,1555.121,0.55,34.2747,./files/framegrabs/SDI1_8_15_2022 15_43_18_07313.jpg
2217,2022-08-15 17:46:40,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=11400]",45.9337364,-130.0139515,1539.51,26.22,-2.38,3.11,1.1,0,"",3.12425,2.4242,1555.125,0.55,34.2748,./files/dscs/R2217_31077.jpg
2217,2022-08-15 17:47:04,"right arm removes cap from plug",45.9337377,-130.0139498,1539.53,26.26,-3.36,3.17,1.12,0,"Cabled Plug ",3.12406,2.4218,1555.13,0.55,34.275,./files/framegrabs/SDI1_8_15_2022 15_43_18_07424.jpg
2217,2022-08-15 17:47:26,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1100]",45.9337365,-130.0139511,1539.5,26.14,-2.31,3.16,1.1,0,"",3.12407,2.4216,1555.137,0.55,34.2753,./files/dscs/R2217_31078.jpg
2217,2022-08-15 17:48:27,"right arm lifting CTD to dislodge Bungee",45.9337364,-130.0139491,1539.57,26.09,-4.03,3.23,1.15,0,"",3.12409,2.4222,1555.127,0.55,34.2749,./files/framegrabs/SDI1_8_15_2022 15_43_18_07508.jpg
2217,2022-08-15 17:49:19,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=3600]",45.9337388,-130.0139393,1539.4,23.4,-6.59,1.69,1.31,0.05,"",3.12461,2.4279,1555.107,0.55,34.2754,./files/dscs/R2217_31079.jpg
2217,2022-08-15 17:49:34,"lifting CTD and plug out of basket",45.9337294,-130.013937,1536.43,24.25,-8.26,0.16,4.05,0.25,"Asset ",3.12519,2.4363,1552.299,0.55,34.2749,./files/framegrabs/SDI1_8_15_2022 15_43_18_07568.jpg
2217,2022-08-15 17:50:41,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=11400]",45.9337574,-130.0138311,1534.78,212.33,-7.69,0.09,5.82,0,"",3.12391,2.422,1550.379,0.55,34.2754,./files/dscs/R2217_31080.jpg
2217,2022-08-15 17:51:20,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=5600]",45.9337243,-130.0138065,1534.81,275.12,-8.71,0.8,5.77,0.2,"",3.1239,2.4218,1550.53,0.55,34.2753,./files/dscs/R2217_31081.jpg
2217,2022-08-15 17:52:22,"right arm placing CTD",45.9337022,-130.0138223,1538.5,281.21,-8.09,0.01,1.98,0.05,"Vehicle ",3.12408,2.4221,1554.135,0.55,34.2754,./files/framegrabs/SDI1_8_15_2022 15_43_18_07743.jpg
2217,2022-08-15 17:53:30,"right arm grasped J box post",45.9336789,-130.0138222,1538.12,278.35,-11.13,2.37,2.09,0.17,"",3.12419,2.4236,1553.94,0.55,34.2752,./files/framegrabs/SDI1_8_15_2022 15_43_18_07810.jpg
2217,2022-08-15 17:53:43,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1600]",45.9336822,-130.0138199,1538.76,278.25,-1.49,0.38,1.54,0.1,"",3.12407,2.4225,1554.249,0.55,34.2749,./files/dscs/R2217_31082.jpg
2217,2022-08-15 17:54:18,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=3600]",45.9336809,-130.0138271,1538.89,276.22,-6.01,0.04,1.76,0,"",3.12415,2.4229,1554.602,0.55,34.2752,./files/dscs/R2217_31083.jpg
2217,2022-08-15 17:54:30,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=4000]",45.9336793,-130.0138268,1538.86,276.16,-6.06,0.25,1.76,0,"",3.12407,2.4218,1554.591,0.55,34.2753,./files/dscs/R2217_31084.jpg
2217,2022-08-15 17:54:40,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2800]",45.9336773,-130.0138265,1538.99,276.23,-5.97,0.23,1.76,0,"",3.12407,2.4218,1554.599,0.55,34.2753,./files/dscs/R2217_31085.jpg
2217,2022-08-15 17:54:49,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=1400]",45.9336757,-130.013826,1538.94,276.31,-6.12,1.12,1.76,0,"",3.12407,2.4218,1554.603,0.55,34.2755,./files/dscs/R2217_31086.jpg
2217,2022-08-15 17:55:30,"left arm plugging in new CTD into J 10",45.9336753,-130.0138212,1538.94,276.11,-6.23,2.32,1.76,0,"",3.12411,2.4224,1554.607,0.55,34.2753,./files/framegrabs/SDI1_8_15_2022 15_43_18_07930.jpg
2217,2022-08-15 17:56:34,"plug engaged",45.9336819,-130.0138279,1538.85,276.32,-7.88,2.28,1.5,0,"Cabled Plug ",3.12411,2.4222,1554.508,0.55,34.2755,./files/framegrabs/SDI1_8_15_2022 15_43_18_07995.jpg
2217,2022-08-15 17:58:06,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=12800]",45.9337726,-130.0139068,1534.62,231.57,-3.19,0.68,6.13,0.58,"",3.12391,2.4232,1550.247,0.55,34.2741,./files/dscs/R2217_31087.jpg
2217,2022-08-15 17:58:15,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=12800]",45.9337902,-130.0139281,1535.32,209.45,-5.28,1.28,5.31,0.56,"",3.12392,2.4219,1551.009,0.55,34.2752,./files/dscs/R2217_31088.jpg
2217,2022-08-15 17:58:32,"picture of site",45.9338063,-130.0139631,1536.07,152.74,-5.57,2.1,4.56,0.32,"",3.1241,2.4236,1551.755,0.55,34.2752,./files/framegrabs/SDI1_8_15_2022 15_43_18_08111.jpg
2217,2022-08-15 17:59:16,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2800]",45.9337991,-130.0139018,1538.03,229.95,-4.63,1.63,2.69,0.2,"",3.12425,2.424,1553.671,0.55,34.2757,./files/dscs/R2217_31089.jpg
2217,2022-08-15 18:00:41,"right manip grabbed and lifted old CTD",45.9338006,-130.0139259,1539.98,265.44,-5.78,2.26,0.74,0.37,"Vehicle ",-,-,-,-,-,./files/framegrabs/SDI1_8_15_2022 15_43_18_08241.jpg
2217,2022-08-15 18:01:05,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=2000]",45.9338217,-130.0139641,1540.01,265.37,-5.79,2.34,0.74,0.37,"",3.12414,2.4217,1555.697,0.55,34.2758,./files/dscs/R2217_31090.jpg
2217,2022-08-15 18:01:36,"left arm picking up plug from sea floor",45.9338405,-130.0139991,1540.02,265.4,-4.96,2.93,0.72,0.37,"",3.12456,2.4262,1555.704,0.55,34.2761,./files/framegrabs/SDI1_8_15_2022 15_43_18_08297.jpg
2217,2022-08-15 18:04:56,"DSC: Please add comment [Focal Length=24] [F-Stop=8] [Exposure time=0.01] [ISO Equivalent=4000]",45.9337862,-130.0139219,1537.27,205.1,-7.82,0.48,3.76,0.2,"",3.12432,2.4256,1553.002,0.55,34.2752,./files/dscs/R2217_31091.jpg
2217,2022-08-15 18:05:00,"lowering cable of CTD into basket",45.9337826,-130.0139235,1537.28,211,-5.52,2.27,3.62,0.18,"",3.12435,2.4254,1552.979,0.55,34.2759,./files/framegrabs/SDI1_8_15_2022 15_43_18_08500.jpg
2217,2022-08-15 18:06:46,"right arm placed CTD in basket on side",45.9337718,-130.0139035,1539.91,248.39,-3.09,1.37,1.32,0,"",3.12431,2.4228,1555.513,0.55,34.2768,./files/framegrabs/SDI1_8_15_2022 15_43_18_08598.jpg
2217,2022-08-15 18:08:56,"th manipulators scooping cable into basket",45.9337912,-130.013907,1539.98,248.11,-3.05,1.39,1.32,0,"Vehicle ",3.12551,2.4337,1555.527,0.55,34.28,./files/framegrabs/SDI1_8_15_2022 15_43_18_08736.jpg
