IRLS CTD Data CSV Export. (Version 1.0)

Dive Information:
Dive Number, Tasks, Start Date, End Date
2220,"Deploy new BEP to sea floor.
Recover old BEP.",2022-08-19 16:00:00,2022-08-19 19:51:00

CTD Measurments:
2022-08-19 16:00:10,44.369386,-124.9536247,0.79,104.18,-0.72,1.34,0,0,0.66441,17.2724,-0.184,3.42,4.3349,1.6473,0.0001,0.0001,0.0002,5,0.0001
2022-08-19 16:00:12,44.369386,-124.9536247,0.82,100.19,-1.45,0.22,0,0,0.61006,17.2726,-0.171,3.69,3.9567,1.7348,0.0003,0.0001,0.0003,5,0
2022-08-19 16:00:15,44.369386,-124.9536247,0.82,94.95,-1.42,0.6,0,0,0.51617,17.2713,-0.18,3.72,3.3102,1.7407,0.0002,0.0002,0,5,0.0001
2022-08-19 16:00:16,44.369386,-124.9536247,0.8,91.67,-0.8,0.09,0,0,0.58496,17.2711,-0.17,3.75,3.7831,1.7519,0.0002,0,0.0001,5,0
2022-08-19 16:00:17,44.369386,-124.9536247,0.79,89.03,-0.09,0.87,0,0,0.76963,17.2715,-0.179,3.81,5.0747,1.784,0.0003,0,0.0002,5,0.0001
2022-08-19 16:00:18,44.369386,-124.9536247,0.79,87.15,0.46,0.79,0,0,0.6787,17.2716,-0.176,3.91,4.4349,1.8117,0.0002,0,0.0001,5,0.0001
2022-08-19 16:00:19,44.369386,-124.9536247,0.81,85.62,-1.18,1.51,0,0,0.54489,17.2715,-0.172,3.96,3.507,1.8205,0.0002,0.0002,0,5,0
2022-08-19 16:00:20,44.369386,-124.9536247,0.84,83.65,-1.89,0.77,0,0,0.50917,17.2707,-0.181,3.93,3.2624,1.8105,0.0002,0.0002,0,5,0.0001
2022-08-19 16:00:21,44.369386,-124.9536247,0.82,81.18,-1.44,0.96,0,0,0.49276,17.2692,-0.177,3.88,3.1505,1.7912,0.0002,0,0,5,0.0001
2022-08-19 16:00:22,44.369386,-124.9536247,0.81,78.13,-1.17,1.39,0,0,0.47345,17.2681,-0.185,3.82,3.0193,1.7717,0.0002,0.0001,0.0001,5,0.0001
2022-08-19 16:00:23,44.369386,-124.9536247,0.79,75.27,-0.76,0.59,0,0,0.62275,17.2679,-0.185,3.76,4.0452,1.7595,0.0001,0.0001,0,5,0.0001
2022-08-19 16:00:24,44.369386,-124.9536247,0.8,72.94,-0.43,0.2,0,0,0.8276,17.268,-0.187,3.7,5.4865,1.749,0.0001,0.0002,0.0001,5,0.0001
2022-08-19 16:00:25,44.369386,-124.9536247,0.81,70.89,-0.75,1.33,0,0,0.6796,17.2685,-0.173,3.7,4.4415,1.7408,0.0002,0,0.0001,5,0.0001
2022-08-19 16:00:26,44.369386,-124.9536247,0.83,69.71,-1.18,2,0,0,0.54777,17.2685,-0.176,3.71,3.5271,1.7393,0.0002,0.0001,0.0001,5,0
2022-08-19 16:00:28,44.369386,-124.9536247,0.82,65.76,-2.06,0.01,0,0,0.45503,17.2668,-0.181,3.71,2.8944,1.7332,0.0001,0.0001,0,5,0
2022-08-19 16:00:29,44.369386,-124.9536247,0.8,62.54,-0.17,2.04,0,0,0.47085,17.2665,-0.18,3.68,3.0017,1.7227,0.0003,0.0001,0,5,0
2022-08-19 16:00:30,44.369386,-124.9536247,0.78,59.83,-0.3,2.36,0,0,0.67821,17.2665,-0.18,3.62,4.432,1.7137,0.0002,0.0002,0,5,0
2022-08-19 16:00:31,44.369386,-124.9536247,0.8,57.1,-0.97,0.4,0,0,0.73856,17.2668,-0.185,3.59,4.8558,1.7084,0.0002,0.0001,0.0001,5,0
2022-08-19 16:00:32,44.369386,-124.9536247,0.81,54.44,-1.08,2.1,0,0,0.5888,17.2669,-0.178,3.61,3.81,1.7074,0.0001,0.0001,0,5,0.0002
2022-08-19 16:00:33,44.369386,-124.9536247,0.82,52.14,-0.9,3.06,0,0,0.50764,17.2665,-0.18,3.63,3.2522,1.7082,0.0003,0.0002,0.0002,5,0.0001
2022-08-19 16:00:34,44.369386,-124.9536247,0.83,49.97,-0.87,2.24,0,0,0.4642,17.2658,-0.181,3.63,2.9566,1.7059,0,0,0.0001,5,0.0001
2022-08-19 16:00:35,44.369386,-124.9536247,0.82,47.72,-1.29,0.26,0,0,0.45264,17.2652,-0.176,3.61,2.8783,1.6981,0.0002,0.0001,0.0001,5,0.0002
2022-08-19 16:00:36,44.369386,-124.9536247,0.8,44.89,-1.55,1.85,0,0,0.37152,17.265,-0.173,3.58,2.3333,1.6862,0.0001,0,0.0001,5,0
2022-08-19 16:00:37,44.369386,-124.9536247,0.79,42.67,-1.53,1.96,0,0,0.28333,17.2649,-0.177,3.56,1.751,1.6734,0.0002,0.0001,0.0001,5,0.0001
2022-08-19 16:00:38,44.369386,-124.9536247,0.8,39.39,-1.32,1.92,0,0,0.33812,17.265,-0.185,3.51,2.1114,1.6609,0,0.0001,0.0001,5,0.0001
2022-08-19 16:00:39,44.369386,-124.9536247,0.8,37.36,-0.75,0.11,0,0,0.23125,17.265,-0.181,3.5,1.413,1.6525,0.0003,0,0.0001,5,0
2022-08-19 16:00:40,44.369386,-124.9536247,0.82,34.6,-0.6,2.53,0,0,0.20721,17.2649,-0.172,3.48,1.2587,1.6441,0.0001,0,0,5,0
2022-08-19 16:00:41,44.369386,-124.9536247,0.82,32.7,-0.75,2.97,0,0,0.21983,17.2645,-0.178,3.45,1.3396,1.6349,0.0002,0.0002,0.0001,5,0.0002
2022-08-19 16:00:42,44.369386,-124.9536247,0.82,30,-1.28,1.42,0,0,0.20901,17.2639,-0.189,3.43,1.2702,1.6265,0.0001,0.0001,0.0001,5,0
2022-08-19 16:00:43,44.369386,-124.9536247,0.81,27.75,-1.5,0.77,0,0,0.21445,17.2634,-0.178,3.4,1.3051,1.6168,0.0003,0.0001,0,5,0.0003
2022-08-19 16:00:44,44.369386,-124.9536247,0.81,25.43,-1.63,1.43,0,0,0.1955,17.2632,-0.18,3.37,1.184,1.6066,0.0001,0.0001,0.0001,5,0.0002
2022-08-19 16:00:45,44.369386,-124.9536247,0.81,22.95,-1.67,1.45,0,0,0.18623,17.2631,-0.187,3.34,1.125,1.5956,0.0002,0.0001,0.0001,5,0.0001
2022-08-19 16:00:46,44.369386,-124.9536247,0.81,20.44,-1.43,1.22,0,0,0.18144,17.263,-0.169,3.31,1.0946,1.5855,0.0002,0.0001,0.0001,5,0
2022-08-19 16:00:47,44.369386,-124.9536247,0.8,18.14,-0.91,0.1,0,0,0.16789,17.263,-0.174,3.28,1.0089,1.5759,0.0003,0.0001,0,5,0.0001
2022-08-19 16:00:48,44.369386,-124.9536247,0.79,15.88,-0.57,1.17,0,0,0.15719,17.2628,-0.179,3.25,0.9415,1.5666,0.0001,0,0,5,0.0002
2022-08-19 16:00:49,44.369386,-124.9536247,0.8,13.81,-0.73,1.47,0,0,0.16072,17.2628,-0.172,3.23,0.9638,1.5584,0.0002,0.0001,0.0002,5,0
2022-08-19 16:00:51,44.369386,-124.9536247,0.8,9.68,-1.45,1.83,0,0,0.14849,17.2626,-0.171,3.18,0.887,1.5427,0.0003,0,0,5,0.0002
2022-08-19 16:00:52,44.369386,-124.9536247,0.81,7.15,-1.94,0.28,0,0,0.1437,17.2625,-0.184,3.16,0.857,1.5349,0.0004,0.0001,0.0003,5,0.0001
2022-08-19 16:00:53,44.369386,-124.9536247,0.82,4.46,-2.26,1.57,0,0,0.14182,17.2623,-0.18,3.14,0.8454,1.5272,0.0003,0,0.0001,5,0.0001
2022-08-19 16:00:54,44.369386,-124.9536247,0.82,1.98,-1.73,1.69,0,0,0.14024,17.2622,-0.178,3.11,0.8355,1.52,0.0003,0.0001,0.0001,5,0.0001
2022-08-19 16:00:55,44.369386,-124.9536247,0.81,359.79,-0.9,0.54,0,0,0.1392,17.262,-0.176,3.09,0.829,1.513,0.0003,0.0001,0.0001,5,0.0001
2022-08-19 16:00:56,44.369386,-124.9536247,0.8,357.89,-0.27,0.73,0,0,0.13989,17.2619,-0.182,3.07,0.8333,1.5062,0,0.0001,0,5,0.0001
2022-08-19 16:00:57,44.369386,-124.9536247,0.8,356.2,-0.17,1.82,0,0,0.13538,17.2617,-0.181,3.05,0.8052,1.5,0.0001,0.0001,0.0002,5,0.0001
2022-08-19 16:00:58,44.369386,-124.9536247,0.81,354.13,-0.96,1.79,0,0,0.12685,17.2615,-0.182,3.04,0.7522,1.4943,0.0002,0.0003,0.0002,5,0
2022-08-19 16:01:00,44.369386,-124.9536247,0.81,350.56,-2.43,0.11,0,0,0.13184,17.261,-0.177,3.01,0.7832,1.4838,0.0001,0,0,5,0.0003
2022-08-19 16:01:01,44.369386,-124.9536247,0.82,347.33,-2.66,1.09,0,0,0.12973,17.2607,-0.17,2.99,0.7701,1.4788,0.0002,0.0003,0,5,0
2022-08-19 16:01:02,44.369386,-124.9536247,0.8,344.64,-1.5,0.18,0,0,0.127,17.2603,-0.168,2.98,0.7532,1.4738,0.0002,0.0002,0,5,0.0002
2022-08-19 16:01:03,44.369386,-124.9536247,0.79,343.07,-0.4,0.61,0,0,0.12878,17.26,-0.169,2.96,0.7642,1.4687,0.0002,0.0001,0.0001,5,0.0001
2022-08-19 16:01:04,44.369386,-124.9536247,0.8,341.15,0.15,0.5,0,0,0.12495,17.2596,-0.178,2.95,0.7405,1.4642,0.0001,0.0002,0,5,0.0001
2022-08-19 16:01:05,44.369386,-124.9536247,0.79,339.28,0.14,0.87,0,0,0.12381,17.2593,-0.177,2.93,0.7334,1.4597,0.0002,0.0001,0.0002,5,0.0001
2022-08-19 16:01:06,44.369386,-124.9536247,0.8,336.88,-0.9,1.05,0,0,0.12527,17.259,-0.176,2.92,0.7425,1.4554,0.0002,0,0,5,0
2022-08-19 16:01:07,44.369386,-124.9536247,0.82,334.18,-2.13,0.01,0,0,0.12928,17.2586,-0.172,2.91,0.7673,1.4513,0.0001,0.0002,0,5,0.0001
2022-08-19 16:01:08,44.369386,-124.9536247,0.82,330.96,-2.74,0.95,0,0,0.12685,17.258,-0.171,2.9,0.7523,1.4487,0.0001,0,0.0001,5,0.0001
2022-08-19 16:01:09,44.369386,-124.9536247,0.8,328.44,-1.8,0.03,0,0,0.12627,17.2575,-0.17,2.89,0.7487,1.4453,0.0001,0,0,5,0.0001
2022-08-19 16:01:11,44.369386,-124.9536247,0.8,324.63,-0.02,1.4,0,0,0.11879,17.2564,-0.189,2.87,0.7024,1.4393,0.0003,0.0001,0.0002,5,0.0001
2022-08-19 16:01:12,44.369386,-124.9536247,0.79,322.18,-0.28,1.74,0,0,0.11711,17.2557,-0.184,2.87,0.6921,1.4385,0.0003,0.0001,0.0001,5,0.0001
2022-08-19 16:01:13,44.369386,-124.9536247,0.82,319.08,-1.87,0.51,0,0,0.12116,17.2552,-0.186,2.87,0.7171,1.4396,0.0001,0.0001,0.0001,5,0.0001
2022-08-19 16:01:14,44.369386,-124.9536247,0.83,316.75,-2.16,1.37,0,0,0.12169,17.2545,-0.174,2.87,0.7204,1.4385,0.0003,0,0,5,0.0004
2022-08-19 16:01:15,44.369386,-124.9536247,0.82,314.78,-1.65,0.29,0,0,0.12355,17.2528,-0.182,2.87,0.7319,1.4383,0.0003,0.0002,0,5,0.0003
2022-08-19 16:01:17,44.369386,-124.9536247,0.81,313.11,-1.65,0.46,0,0,0.13353,17.2483,-0.185,2.86,0.7939,1.4361,0.0001,0.0002,0,5,0.0002
2022-08-19 16:01:18,44.369386,-124.9536247,0.79,311.53,-0.95,0.4,0,0,0.13177,17.2476,-0.176,2.86,0.783,1.434,0.0003,0.0002,0,5,0.0002
2022-08-19 16:01:19,44.369386,-124.9536247,0.79,309.83,-0.92,0.59,0,0,0.12689,17.2471,-0.175,2.86,0.7528,1.4341,0.0001,0,0.0001,5,0.0002
2022-08-19 16:01:20,44.369386,-124.9536247,0.8,307.78,-1.29,0.13,0,0,0.12587,17.2467,-0.183,2.87,0.7464,1.437,0.0001,0,0.0001,5,0
2022-08-19 16:01:21,44.369386,-124.9536247,0.81,305.63,-1.18,0.71,0,0,0.12489,17.2462,-0.187,2.87,0.7404,1.4382,0.0002,0.0002,0.0001,5,0.0001
2022-08-19 16:01:22,44.369386,-124.9536247,0.82,303.67,-1.04,1.41,0,0,0.12347,17.2455,-0.179,2.87,0.7315,1.4378,0.0001,0,0.0002,5,0.0001
2022-08-19 16:01:23,44.369386,-124.9536247,0.81,301.51,-1,1.5,0,0,0.12466,17.2446,-0.179,2.87,0.7389,1.4373,0.0001,0.0001,0.0001,5,0.0002
2022-08-19 16:01:24,44.369386,-124.9536247,0.8,299.47,-0.77,1.32,0,0,0.12073,17.244,-0.179,2.86,0.7147,1.4365,0.0003,0.0002,0,5,0.0001
2022-08-19 16:01:25,44.369386,-124.9536247,0.81,297.4,-1.38,1.1,0,0,0.11577,17.2435,-0.192,2.86,0.684,1.4353,0,0,0.0001,5,0.0002
2022-08-19 16:01:26,44.369386,-124.9536247,0.8,295.6,-0.71,0.52,0,0,0.12298,17.2424,-0.183,2.86,0.7286,1.4336,0.0001,0.0001,0,5,0
2022-08-19 16:01:27,44.369386,-124.9536247,0.78,293.37,-1.08,0.52,0,0,0.12332,17.241,-0.18,2.85,0.7307,1.4323,0.0002,0.0002,0,5,0.0001
2022-08-19 16:01:28,44.369386,-124.9536247,0.81,291.67,-1.63,0.81,0,0,0.12004,17.2403,-0.174,2.85,0.7104,1.4306,0.0001,0.0001,0,5,0.0003
2022-08-19 16:01:29,44.369386,-124.9536247,0.8,290.51,-1.89,1.17,0,0,0.11924,17.2397,-0.185,2.84,0.7055,1.4289,0.0002,0.0002,0.0001,5,0.0001
2022-08-19 16:01:30,44.369386,-124.9536247,0.8,288.66,-1.05,0.88,0,0,0.11571,17.2392,-0.171,2.83,0.6837,1.4261,0,0.0001,0.0001,5,0
2022-08-19 16:01:31,44.369386,-124.9536247,0.8,287.66,-1.08,0.6,0,0,0.1135,17.2387,-0.183,2.83,0.6701,1.4244,0.0001,0.0003,0,5,0.0001
2022-08-19 16:01:32,44.369386,-124.9536247,0.81,285.68,-0.67,0.37,0,0,0.11349,17.2381,-0.182,2.83,0.67,1.4244,0.0002,0,0.0001,5,0.0001
2022-08-19 16:01:33,44.369386,-124.9536247,0.82,284.47,-1.44,0.28,0,0,0.11619,17.2375,-0.179,2.83,0.6867,1.4248,0.0003,0.0001,0.0001,5,0.0001
2022-08-19 16:01:34,44.369386,-124.9536247,0.83,283.58,-1.53,0.11,0,0,0.1153,17.2359,-0.176,2.83,0.6812,1.4232,0.0002,0.0001,0.0002,5,0.0001
2022-08-19 16:01:36,44.369386,-124.9536247,0.77,282.85,-1.4,0.51,0,0,0.12728,17.2314,-0.179,2.81,0.7554,1.4199,0.0004,0,0,5,0.0001
2022-08-19 16:01:37,44.369386,-124.9536247,0.79,282.89,-0.99,1.26,0,0,0.11844,17.2306,-0.162,2.82,0.7007,1.4203,0.0003,0.0002,0,5,0
2022-08-19 16:01:38,44.369386,-124.9536247,0.81,282.35,-1.09,1.44,0,0,0.11659,17.2302,-0.182,2.82,0.6893,1.4217,0.0001,0,0.0002,5,0.0002
2022-08-19 16:01:39,44.369386,-124.9536247,0.81,282.18,-1.08,0.57,0,0,0.11472,17.2296,-0.182,2.83,0.6778,1.4239,0.0004,0.0002,0,5,0.0001
2022-08-19 16:01:40,44.369386,-124.9536247,0.79,282.39,-0.69,0.14,0,0,0.11608,17.2283,-0.187,2.83,0.6862,1.4262,0.0003,0,0.0001,5,0.0001
2022-08-19 16:01:41,44.369386,-124.9536247,0.79,282.78,-0.86,0.32,0,0,0.11727,17.2269,-0.181,2.84,0.6935,1.428,0.0003,0.0001,0.0001,5,0.0001
2022-08-19 16:01:42,44.369386,-124.9536247,0.81,283.18,-1.21,0.41,0,0,0.11309,17.2262,-0.176,2.85,0.6678,1.4304,0.0004,0.0001,0.0001,5,0
2022-08-19 16:01:43,44.369386,-124.9536247,0.83,283.42,-1.61,0.26,0,0,0.10988,17.2257,-0.185,2.85,0.648,1.4321,0.0001,0.0001,0,5,0.0002
2022-08-19 16:01:44,44.369386,-124.9536247,0.8,283.65,-1.52,0.29,0,0,0.10686,17.2253,-0.179,2.86,0.6294,1.4331,0.0001,0.0002,0.0001,5,0
2022-08-19 16:01:45,44.369386,-124.9536247,0.79,283.48,-1.3,0.65,0,0,0.10242,17.225,-0.166,2.86,0.6023,1.4335,0.0002,0.0001,0.0002,5,0.0001
2022-08-19 16:01:46,44.369386,-124.9536247,0.81,283.21,-1.35,0.58,0,0,0.1052,17.2247,-0.182,2.86,0.6193,1.4339,0,0.0002,0,5,0.0001
2022-08-19 16:01:47,44.369386,-124.9536247,0.79,283.42,-0.91,0.32,0,0,0.10997,17.2242,-0.178,2.86,0.6486,1.4342,0.0003,0.0002,0,5,0.0003
2022-08-19 16:01:48,44.369386,-124.9536247,0.79,283.72,-0.93,0.11,0,0,0.10618,17.2236,-0.183,2.86,0.6253,1.4335,0.0002,0.0003,0.0003,5,0.0002
2022-08-19 16:01:49,44.369386,-124.9536247,0.8,283.86,-1.32,0.14,0,0,0.10133,17.2231,-0.196,2.85,0.5956,1.4321,0.0002,0.0002,0.0001,5,0
2022-08-19 16:01:50,44.369386,-124.9536247,0.82,283.94,-1.11,0.17,0,0,0.10563,17.2226,-0.192,2.85,0.6219,1.4309,0.0002,0,0.0001,5,0.0001
2022-08-19 16:01:51,44.369386,-124.9536247,0.81,283.77,-1.43,0.29,0,0,0.10559,17.222,-0.202,2.84,0.6217,1.4288,0.0003,0,0,5,0.0001
2022-08-19 16:01:52,44.369386,-124.9536247,0.81,283.6,-1.68,0.14,0,0,0.10343,17.2212,-0.171,2.84,0.6085,1.4264,0.0002,0,0.0001,5,0.0002
2022-08-19 16:01:53,44.369386,-124.9536247,0.81,283.53,-1.64,0.13,0,0,0.10194,17.2205,-0.179,2.83,0.5994,1.4244,0.0002,0,0,5,0
2022-08-19 16:01:54,44.369386,-124.9536247,0.81,283.63,-1.45,0.04,0,0,0.09917,17.2199,-0.19,2.82,0.5824,1.4218,0.0002,0.0001,0.0001,5,0.0004
2022-08-19 16:01:56,44.369386,-124.9536247,0.8,284.15,-0.55,0.41,0,0,0.09384,17.219,-0.174,2.81,0.5498,1.4174,0.0003,0.0001,0.0001,5,0.0001
2022-08-19 16:01:57,44.369386,-124.9536247,0.79,284.39,-0.5,0.35,0,0,0.09343,17.2185,-0.183,2.81,0.5474,1.4161,0.0003,0.0002,0.0002,5,0.0001
2022-08-19 16:01:58,44.369386,-124.9536247,0.79,284.38,-0.4,0.31,0,0,0.09189,17.2179,-0.195,2.81,0.538,1.4156,0.0003,0.0001,0.0001,5,0
2022-08-19 16:01:59,44.369386,-124.9536247,0.82,283.54,-2.15,1.72,0,0,0.10624,17.2173,-0.182,2.8,0.6258,1.4148,0.0002,0.0002,0,5,0.0001
2022-08-19 16:02:00,44.369386,-124.9536247,0.84,283.1,-2.45,0.25,0,0,0.10818,17.2159,-0.175,2.8,0.6377,1.4137,0.0005,0.0001,0,5,0.0002
2022-08-19 16:02:02,44.369386,-124.9536247,0.79,284.18,-1.15,0.8,0,0,0.12173,17.2107,-0.182,2.8,0.7214,1.4131,0.0002,0,0.0003,5,0.0001
2022-08-19 16:02:03,44.369386,-124.9536247,0.75,284.44,0.5,0.07,0,0,0.14396,17.2098,-0.171,2.79,0.8598,1.4136,0.0002,0.0001,0,5,0
2022-08-19 16:02:04,44.369386,-124.9536247,0.75,284.31,0.49,0.64,0,0,0.15257,17.2092,-0.18,2.8,0.9138,1.4168,0.0002,0,0,5,0
2022-08-19 16:02:05,44.369386,-124.9536247,0.78,282.8,-0.57,1.45,0,0,0.13908,17.2088,-0.172,2.82,0.8293,1.4203,0.0002,0,0,5,0
2022-08-19 16:02:06,44.369386,-124.9536247,0.84,282.24,-2.6,0.75,0,0,0.17542,17.2078,-0.183,2.84,1.0579,1.4298,0.0003,0,0.0001,5,0.0002
2022-08-19 16:02:07,44.369386,-124.9536247,0.83,282.01,-2.33,0.23,0,0,0.20117,17.204,-0.189,2.92,1.2219,1.456,0.0002,0.0002,0,5,0.0003
2022-08-19 16:02:08,44.369386,-124.9536247,0.82,282.11,-2.3,0.42,0,0,0.1912,17.1991,-0.177,3,1.1584,1.4842,0.0003,0.0001,0.0001,5,0.0002
2022-08-19 16:02:09,44.369386,-124.9536247,0.8,282.44,-2.23,0.42,0,0,0.17234,17.1966,-0.186,3.05,1.0387,1.5002,0.0003,0,0,5,0.0003
2022-08-19 16:02:10,44.369386,-124.9536247,0.78,282.65,-2.08,0.08,0,0,0.17066,17.196,-0.178,3.08,1.0281,1.5074,0.0003,0.0002,0,5,0.0001
2022-08-19 16:02:11,44.369386,-124.9536247,0.78,282.7,-0.84,0.28,0,0,0.32924,17.1965,-0.18,3.07,2.0561,1.5108,0,0.0001,0.0001,5,0.0001
2022-08-19 16:02:12,44.369386,-124.9536247,0.75,282.39,0.22,0.92,0,0,0.42075,17.1975,-0.181,3.07,2.6675,1.5166,0.0003,0.0001,0,5,0.0001
2022-08-19 16:02:13,44.369386,-124.9536247,0.79,281.32,0.08,0.81,0,0,0.49523,17.2007,-0.18,3.09,3.1727,1.5264,0.0002,0.0003,0.0001,5,0
2022-08-19 16:02:14,44.369386,-124.9536247,0.86,280.36,-2.82,0.6,0,0,0.63576,17.204,-0.17,3.11,4.1421,1.5383,0.0002,0,0,5,0.0001
2022-08-19 16:02:15,44.369386,-124.9536247,0.86,280.82,-3.63,0.27,0,0,0.75577,17.2042,-0.183,3.16,4.9849,1.561,0.0002,0.0001,0,5,0.0001
2022-08-19 16:02:16,44.369386,-124.9536247,0.8,281.41,-1.85,0.56,0,0,0.68577,17.1981,-0.167,3.3,4.4925,1.6062,0.0001,0,0,5,0
2022-08-19 16:02:17,44.369386,-124.9536247,0.76,282.04,-0.5,0.25,0,0,0.65098,17.1925,-0.185,3.43,4.2496,1.6465,0.0001,0.0001,0,5,0.0001
2022-08-19 16:02:18,44.369386,-124.9536247,0.76,281.91,0.02,1.24,0,0,0.85396,17.1931,-0.176,3.48,5.6849,1.6741,0.0001,0.0002,0,5,0.0003
2022-08-19 16:02:19,44.369386,-124.9536247,0.8,281.18,0,1.55,0,0,0.83606,17.1963,-0.193,3.53,5.5565,1.6893,0,0.0001,0,5,0.0001
2022-08-19 16:02:20,44.369386,-124.9536247,0.85,280.91,-2.04,0.6,0,0,0.66756,17.1982,-0.181,3.58,4.3649,1.6995,0.0002,0.0001,0,5,0.0001
2022-08-19 16:02:21,44.369386,-124.9536247,0.85,280.83,-1.84,0.1,0,0,0.54785,17.1978,-0.179,3.65,3.5337,1.7165,0.0001,0.0002,0.0001,5,0.0002
2022-08-19 16:02:22,44.369386,-124.9536247,0.8,281.3,-1.93,0.26,0,0,0.46527,17.1964,-0.16,3.76,2.9689,1.7473,0.0002,0.0001,0.0001,5,0.0004
2022-08-19 16:02:23,44.369386,-124.9536247,0.78,281.59,-0.81,0.96,0,0,0.44052,17.1951,-0.177,3.84,2.8012,1.775,0.0002,0.0001,0,5,0.0001
2022-08-19 16:02:25,44.369386,-124.9536247,0.81,281.91,-0.71,0.12,0,0,0.43915,17.1959,-0.169,3.86,2.7919,1.7805,0.0001,0.0001,0,5,0
2022-08-19 16:02:26,44.369386,-124.9536247,0.82,281.89,-1.92,0.88,0,0,0.37153,17.1977,-0.182,3.87,2.3372,1.7798,0.0003,0.0001,0.0002,5,0
2022-08-19 16:02:27,44.369386,-124.9536247,0.82,281.85,-1.85,0.94,0,0,0.56941,17.1979,-0.177,3.83,3.6823,1.7765,0.0002,0,0.0002,5,0
2022-08-19 16:02:28,44.369386,-124.9536247,0.8,282.07,-1.6,0.47,0,0,0.52862,17.1965,-0.184,3.82,3.4016,1.772,0.0001,0.0001,0.0001,5,0.0004
2022-08-19 16:02:30,44.369386,-124.9536247,0.77,281.98,-1,0.33,0,0,0.49193,17.1934,-0.171,3.76,3.1507,1.7506,0.0002,0.0001,0,5,0.0002
2022-08-19 16:02:31,44.369386,-124.9536247,0.78,282.05,-0.7,0.55,0,0,0.35169,17.1935,-0.177,3.74,2.2052,1.7356,0.0005,0,0.0001,5,0.0002
2022-08-19 16:02:32,44.369386,-124.9536247,0.79,281.99,-0.47,0.06,0,0,0.2808,17.1946,-0.177,3.71,1.7375,1.7225,0.0003,0.0001,0.0003,5,0
2022-08-19 16:02:33,44.369386,-124.9536247,0.8,281.97,-0.16,0.34,0,0,0.23748,17.1955,-0.183,3.68,1.4556,1.7107,0.0002,0.0002,0,5,0.0001
2022-08-19 16:02:34,44.369386,-124.9536247,0.81,281.79,-0.52,0.95,0,0,0.36154,17.1956,-0.171,3.62,2.2707,1.6976,0.0002,0.0004,0.0003,5,0.0001
2022-08-19 16:02:35,44.369386,-124.9536247,0.83,281.67,-1.54,0.93,0,0,0.50892,17.1947,-0.181,3.56,3.2667,1.6847,0.0001,0.0001,0.0002,5,0.0001
2022-08-19 16:02:36,44.369386,-124.9536247,0.82,281.86,-2,0.44,0,0,0.47044,17.192,-0.197,3.54,3.0044,1.6749,0.0001,0,0,5,0
2022-08-19 16:02:37,44.369386,-124.9536247,0.81,282.7,-2.26,0.07,0,0,0.37268,17.1894,-0.18,3.54,2.3454,1.6688,0.0003,0.0001,0.0001,5,0.0001
2022-08-19 16:02:38,44.369386,-124.9536247,0.77,282.83,-0.64,0.05,0,0,0.46303,17.1878,-0.185,3.5,2.9543,1.662,0.0003,0.0001,0,5,0.0002
2022-08-19 16:02:39,44.369386,-124.9536247,0.77,282.69,-0.51,0.62,0,0,0.36595,17.1882,-0.178,3.51,2.3005,1.6601,0.0002,0.0003,0.0001,5,0.0001
